Species ,Intermediate_Paratenic_hosts,Definitive_host,LCL_long,LCL_short,Facultative,Min_TL,Max_TL,Avg_TL
Aelurostrongylus falciformis,Gastropods (first intermediate),Badgers,2,2,None,2,4,3
Aelurostrongylus pridhami,"Gastropods (first) Fish, frogs, birds, mice (paratenic)",Mink,3,2,Middle,3,4,3.5
Didelphostrongylus hayesi,Molluscs (first intermediate),Opossum,2,2,None,2,4,3
Angiostrongylus andersoni,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus dujardini,Aquatic snails (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus mackerrasae,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus siamensis,Aquatic snails (first intermediate),Rats,2,2,None,2,3,2.5
Angiostrongylus cantonensis,"Molluscs (first) Crabs, frogs and toads, planaria, fish (paratenic host)","Rats, humans",3,2,Middle,2,5,2.5
Angiostrongylus malaysiensis,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus costaricensis,Slugs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus vasorum,Gastropods (first) Frogs (paratenic),"Dogs, foxes",3,2,Middle,2,4,3.5
Neostrongylus linearis,Terrestrial molluscs (first intermediate),"Sheep, goats, chamois",2,2,None,2,3,2
Pneumostrongylus calcaratus,Terrestrial molluscs (first intermediate),African antelopes,2,2,None,2,3,2
Varestrongylus alpenae,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Varestrongylus capreoli,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Varestrongylus pneumonicus,Terrestrial molluscs (first intermediate),"Sheep, goats",2,2,None,2,3,2
Varestrongylus sagittatus,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Elaphostrongylus alces,Terrestrial molluscs (first intermediate),Moose,2,2,None,2,3,2
Elaphostrongylus cervi,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Elaphostrongylus rangiferi,Terrestrial molluscs (first intermediate),"Reindeer, caribou",2,2,None,2,3,2
Parelaphostrongylus andersoni,Terrestrial molluscs (first intermediate),"Deer, caribou",2,2,None,2,3,2
Parelaphostrongylus odocoilei,Terrestrial molluscs (first intermediate),"Deer, goats, caribou",2,2,None,2,3,2
Parelaphostrongylus tenuis,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Muellerius capillaris,Terrestrial molluscs (first intermediate),"Sheep, goats",2,2,None,2,3,2
Cystocaulus ocreatus,Terrestrial molluscs (first intermediate),"Sheep, goats",2,2,None,2,3,2
Umingmakstrongylus pallikuukensis,Terrestrial molluscs (first intermediate),Musk ox,2,2,None,2,3,2
Protostrongylus broughtoni,Terrestrial molluscs (first intermediate),Lagomorphs,2,2,None,2,3,2
Protostrongylus cunicularum,Terrestrial molluscs (first intermediate),Lagomorphs,2,2,None,2,3,2
Protostrongylus davtiani,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus hobmaieri,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus kamenskyi,Terrestrial molluscs (first intermediate),Lagomorphs,2,2,None,2,3,2
Protostrongylus pulmonalis,Terrestrial molluscs (first intermediate),Lagomorphs,2,2,None,2,3,2
Protostrongylus rufescens,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus rushi,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus skrjabini,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus stilesi,Terrestrial molluscs (first intermediate),Ungulates,2,2,None,2,3,2
Protostrongylus tauricus,Terrestrial molluscs (first intermediate),Lagomorphs,2,2,None,2,3,2
Dichelyne bullocki,,Fish,1,1,None,3,4,3.6
Dichelyne cotylophora,Minnow (first intermediate),Perch,2,2,None,3,4,3.7
Dichelyne minutus,Polychaetes (first intermediate) Sand gobies (second),Flounder,3,2,Middle,2,4,3.25
Truttaedacnitis pybusae,,Lampreys,1,1,None,3,4,2.2
Truttaedacnitis truttae,ammocoetes (first intermediate),Salmonid fish,2,2,Last,3,5,4.35
Cucullanus chaubaudi,,Fish,1,1,None,2,3,3.4
Cucullanus cirratus,Copepod (fac) Small fish or cod fry,Cod,3,2,First,2,4,4.3
Cucullanus heterochrous,Polychaetes (intermediate),Flatfish like flounder and plaic,2,2,None,2,4,3.25
Anguillicola crassus,"Copepods, ostracods (first) Small forage fish (second)",Eels,3,2,Middle,3,4,3.55
Anguillicola globiceps,Copepods (first) Small forage fish (second),Eels,3,2,Middle,3,4,3.6
Anguillicola novaezelandiae,Copepods (first) Small forage fish (second),Eels,3,2,Middle,3,5,4.3
Spiroxys contortus,"Copepods (first) Small fish, tadpoles, frogs, newts, dragonfly nymphs, FW snails (paratenic)",Terrapins,3,3,Middle,2,4,3
Gnathostoma hispidum,"Copepods (first) Fish, frogs, reptiles, birds (paratenic)",Pigs,3,3,None,2,4,2.5
Gnathostoma procyonis,"Copepods (first) Fish, terrapins, snakes, alligator (paratenic)",Racoons,3,3,None,2,4,3
Gnathostoma turgidum,"Copepods (first) tadpoles, turtles (paratenic)",Opossums,3,3,None,2,4,3
Gnathostoma vietnamicum,"Copepod Mesocyclops leuckarti (first intermediate), freshwater fish (second intermediate) (Rojekittikhun 2002)",Otter Lutra elioti,3,3,None,3,4,3.5
Gnathostoma doloresi,"Copepods (first) Salamanders, snakes, others experimentally (paratenic)",Pigs,3,3,None,2,4,2.5
Gnathostoma spinigerum,Copepods (first) wide range of vertebrates including man (paratenic),"Cats, dogs",3,3,None,2,4,3.5
Gnathostoma binucleatum,"Copepods (first) Small fish, turtles (paratenic)",Cats,3,3,None,3,4,3.5
Gnathostoma nipponicum,"Copepods (first) Frogs, insect larvae, birds, snakes (second)",Weasels,3,3,None,3,4,3.5
Maupasina weissi,Locust (first intermediate),North African elephant shrew,2,2,None,2,3,3
Allodapa suctoria,"Beetles, earwigs, orthopterans (first intermediate)",Poultry,2,2,None,2,3,2.5
Subulura bolivari,Beetles (first intermediate),Little owl,2,2,None,3,4,3.5
Subulura jacchi,Cockroaches (first intermediate),Brazilian marmoset,2,2,None,2,3,2.5
Subulura otolicni,Earwigs (first intermediate),Lemurs,2,2,None,2,3,2.5
Subulura williaminglisi,Earwigs (first intermediate),Rodents,2,2,None,2,3,2.5
Tarsubularia perarmata,Crickets (first intermediate),Tarsiers and Tupaids,2,2,None,2,4,3
Paraquimperia tenerrima,Minnow (first intermediate),Eel,2,2,None,3,4,4.1
Skrjabinelazia galliardi,Cricket (paratenic),Lizard,2,1,First,3,3,3
Seuratum cadarachense,Locust (first intermediate),Rodent,2,2,None,2,3,2.5
Seuratum nguyenvanaii,Cockroaches (first intermediate),Shrew,2,2,None,2,3,3
Rictularia cristata,"Millipedes, relates arthopods (first intermediate)",Rodents,2,2,None,2,3,2.5
Rictularia proni,"Orthopterans demapterans, coleopterans (first intermediate)",Rodents,2,2,None,2,3,2.5
Pterygodermatites affinis,"Tachyderma hispida (Tenebrionid, first), reptiles (paratenic)",Mammalian carnivores,3,2,Middle,3,4,3.5
Pterygodermatites coloradensis,"Cockroaches, beetles, crickets (first intermediate) ",Rodents,2,2,None,2,3,2.5
Pterygodermatites desportesi,Earwigs (first intermediate),Lophuromys sikapusi (Muridae),2,2,None,2,3,2.5
Pterygodermatites hispanica,Locusts (first intermediate),Apodemus silvaticus (Muridae),2,2,None,2,3,2.5
Pterygodermatites nycticebi,Cockroaches (first intermediate),New World Monkeys,2,2,None,2,3,2.5
Pterygodermatites peromysci,Crickets (first intermediate),White-footed mouse (Peromyscus leucopus),2,2,None,2,3,2.5
Pterygodermatites taterilli,Locusts (first intermediate),Cricetidae (rodents),2,2,None,2,3,2.5
Pterygodermatites zygodontomis,"Dermaptera, cockroaches (first intermediate)", Brazilian Cricetidae (rodents),2,2,None,2,3,2.5
Enterobius vermicularis,,Humans,1,1,None,2,5,2.21
Gyrinicola batrachiensis,,Tadpoles,1,1,None,2,3,2.5
Oxyuris equi,,Horses,1,1,None,2,3,2
Skrjabinema ovis,,"Sheep, goats",1,1,None,2,3,2
Aspiculuris tetraptera,,Mice,1,1,None,2,3,2.5
Passalarus ambiguus,,"Rabbits, hares",1,1,None,2,3,2
Syphacia muris,,Rats,1,1,None,2,3,2.5
Syphacia obvelata,,Mice,1,1,None,2,3,2.5
Spinicauda freitasi,,Chameleons,1,1,None,2,4,3
Heterakis gallinarum,Earthworms (paratenic),Galliforms,2,1,First,2,3,2.5
Heterakis spumosa,Earthworms (first intermediate),Rats and mice,2,1,First,2,3,2.5
Ascaridia columbae,,Pigeons,1,1,None,2,3,2.5
Ascaridia compar,,Rock partridge,1,1,None,2,3,2.5
Ascaridia dissimilis,,Turkeys,1,1,None,2,3,2.5
Ascaridia galli,"Earthworms (paratenic, occur in worm intestine only)",Galliforms,2,1,First,2,3,2.5
Ascaridia numidae,,Guinea fowl,1,1,None,2,3,2.5
Megalobatrachonema terdentatum,Oligochaetes ? (first intermediate),Salamanders,2,2,None,3,4,3
Aplectana courdurieri,Tadpoles (first intermediate),Frogs and tadpoles (infection in tadpoles mature in frogs) ,1,1,None,2,4,2.5
Aplectana macintoshii,,Frogs and toads,1,1,None,3,4,3
Pseudoterranova decipiens,Planktonic crustacea (first) Benthic macroinvertebrates (second)  Small fish (third) Piscivorous fish (fourth),Pinnipeds,4,3,Middle,3,5,4
Anisakis physeteris,Euphausid shrimps (first)      Fish (second),Whales,3,3,Middle,3,5,4.4
Anisakis simplex,Euphausid shrimps (first)      Fish (second),Pinnipeds & Cetaceans,3,3,Middle,3,5,4.125
Anisakis typica,Euphausid shrimps (first)      Fish (second),Cetaceans,3,3,Middle,3,5,4.183333333
Sulcascaris sulcata,Molluscs (first intermediate),Marine turtles,2,2,None,2,4,2.4
Contraceacum osculatum,Copepods (first)   Fish (second),Seals,3,3,None,3,5,3.733333333
Contraceacum microcephalum,Copepods (first)   Young fish and odonates (second),Piscivorous birds,3,3,None,3,4,3.5
Contraceacum micropapillatum,"Copepods (first)   Fish, frogs, Odonata (second)",Pelicans,3,3,None,3,4,3.5
Contraceacum multipapillatum,Copepods (first)   Fish (second),Water birds,3,3,None,3,4,3.5
Contraceacum rudolphi,"Copepods (first), amphipods, fish (paratenic)",Piscivorous birds,3,2,Middle,3,4,3.5
Porrocaecum angusticolle,"Eathworms (first)  Shrews, moles (paratenic)",Hawks,3,3,None,3,4,3.5
Porrocaecum crassum,Earthworms (first intermediate),Waterfowl,2,2,None,2,3,2.5
Porrocaecum ensicaudatum,Earthworms (first intermediate),Passerines,2,2,None,2,3,2.5
Porrocaecum semiteres,Earthworms (first intermediate),Various birds,2,2,None,2,4,3
Goezia ascaroides,Copepod (first) Fish fry (paratenic),Catfish,3,3,Middle,3,5,4.4
Raphidascaris acus,Small fish (or invertebrates) (first intermediate),Piscivorous fishes,3,2,First,3,4,3.775
Hysterothylacium aduncum,"Copepods, etc. (first)  Planktivorous fish (paratenic)",Piscivorous fish,3,2,Middle,3,4,3.95
Hysterothylacium analarum,Copepods (first intermediate),Centrarchid fish,2,2,None,2,3,3.1
Hysterothylacium bidentatum,Gammarus (first intermediate),Sterlet (sturgeon),2,2,None,3,5,3.6
Hysterothylacium haze,Polychaetes or small crustacea (facultative intermediate),Goby,2,1,First,2,4,3.3
Toxocara pteropodis,N/a,Fruit bats,1,1,None,2,3,2
Toxocara vitulorum,N/a,"Cattle, goats, sheep",1,1,None,2,3,2
Toxocara canis,"Various birds, small mammals (paratenic)",Dog,2,1,First,2,4,3.5
Toxocara cati,Invertebrates and vertebrates (first intermediate or paratenic?),Felines,2,1,First,3,4,3.5
Brevimulticaecum tenuicolle,Frogs (first intermediate),Alligator,2,2,None,3,5,4
Amplicaecum robertsi,Various marsupials and other mammals (first intermediate),Carpet pythons,2,2,None,3,4,3.5
Polydelphis anoura,Rodents (first intermediate),Pythons,2,2,None,3,4,3.5
Travassosascaris araujoi,Mice (first intermediate),Snakes,2,2,None,3,4,3.5
Ophidascaris labiatopapillosa,Amphibians (first intermediate),Snakes,2,2,None,3,4,3.5
Ophidascaris moreliae,Mammals (first intermediate),Carpet pythons,2,2,None,3,4,3.5
Hexametra angusticaecoides,Chameleons (first intermediate),Chameleons and Snakes (Madagascar),2,1,Last,2,4,3
Hexametra boddaertii,Mice (first intermediate),Snakes,2,2,None,3,4,3.5
Hexametra quadricornis,Mice (first intermediate),Snakes,2,2,None,3,4,3.5
Toxascaris leonina,Mice (facultative first intermediate),Canidae and Felidae,2,1,First,2,4,3.5
Lagochilascaris minor,"Mice, agoutis, rodents (first intermediate)","Dogs, cats, humans (occasionally)",2,2,None,2,4,3.5
Lagochilascaris sprenti,Rodents (first intermediate),Opossums,2,2,None,2,4,3
Parascaris equorum,,Equidae,1,1,None,2,3,2
Ascaris lumbricoides,,Human,1,1,None,2,5,2.21
Ascaris suum,,Pig,1,1,None,2,4,2.5
Bayliascaris columnaris,"Mice, voles (first intermediate)",Skunks,2,2,None,2,4,3
Bayliascaris devosi,Mice (first intermediate),Martens,2,2,None,2,4,3.5
Bayliascaris laevis,Small mammals (first intermediate),"Marmots, ground squirrrels",1,1,None,2,4,2.5
Bayliascaris procyonis,Rodents (first intermediate),Racoons,2,1,First,2,4,3
Bayliascaris tasmaniensis,Small marsupials (first intermediate),Carnivorous marsupials,2,2,None,3,4,3.5
Bayliascaris schroederi,Mice (first intermediate),Giant Panda,2,2,None,2,3,2
Bayliascaris transfuga,Mice (first intermediate),"Bears, Pandas",2,2,None,2,5,2.5
Philonema agubernaculum,Copepods (first intermediate),Salmo salarand Salvelinus fontinalis,3,2,Middle,3,4,3.75
Philonema oncorhynchi,Copepods (first intermediate),Salmon - Oncorynchus spp.,2,2,None,3,4,3.7
Micropleura indica,Copepods (first intermediate),Freshwater turtle: Lissemys punctata,2,2,None,2,4,3
Avioserpens mosgovoyi,"Copepods (first) Small fish, frogs, dragonfly nymphs (paratenic)","Coots, grebes, mallards",3,3,None,2,4,2.5
Avioserpens taiwana,Copepods (first intermediate),Ducks,2,2,None,2,3,2.5
Dracunculus doi,Copepods (first intermediate),Snake: Sanzinia madagascariensis,2,2,None,3,4,3.5
Dracunculus ophidensis,Copepods (first) Tadpoles (paratenic),Garter snakes: Chamnophis sirtalis,3,3,None,3,4,3.5
Dracunculus insignis,Copepods (first) Tadpoles and frogs (paratenic),Racoons,3,3,None,2,4,3
Dracunculus medinensis,Copepods (first intermediate),Humans,2,2,None,2,5,2.21
Philometra abdominalis,Copepods (first intermediate),Fish: Cyprinidae,2,2,None,2,3,2.95
Philometra cylindracea,Copepods (first intermediate),Perch,2,2,None,3,4,3.7
Philometra fujimotoi,Copepods (first intermediate),Fish: Ophiocephalus argus,2,2,None,3,4,4.2
Philometra sibirica,Copepods (first intermediate),Fish: Coregonas alba,2,2,None,3,3,3
Philometroides huronensis,Copepods (first intermediate),Fish: Catostomus commersoni,2,2,None,2,3,2.8
Philometroides nodulosa,Copepods (first intermediate),Fish: Catostomus commersoni and other fish,2,2,None,2,3,2.8
Philometroides parasiluri,Copepods (first intermediate),Fish: Percottus glehni,2,2,None,3,4,3.6
Philometroides sanguinea,Copepods (first intermediate),Crucian carp,2,2,None,2,3,3.1
Philometra obturans,Copepods (first) Small forage fish (paratenic),Pike,3,3,None,3,4,4.4
Philometra ovata,Copepods (first intermediate),Cyprinidae,2,2,None,2,3,2.966666667
Philometroides cyprini,Copepods (first intermediate),Carp,2,2,None,2,3,3
Neocamallanus ophiocephali,Copepods (first intermediate),Fish: Channa (= Ophiocephalus)  striatus ,2,2,None,3,4,3.7
Paracamallanus cyathopharynx,Copepods (first intermediate),Catfish: Clariiidae,2,2,None,3,4,3.2
Paracamallanus singhi,Copepods (first intermediate),Fish: Channa striata,2,2,None,3,4,3.7
Paracamallanus sweeti,Copepods (first) Small forage fish (paratenic),Fish: Ophiocephalus gachua,3,3,None,3,4,3.8
Camallanus anabantis,Cylops (first intermediate),Climbing perch: Anabas testudineus,2,2,None,2,3,2.7
Camallanus cotti,Cylops (first intermediate),Guppies,2,1,First,2,3,3.325
Camallanus truncatus,Copepods (first intermediate),Many fish,2,2,None,3,4,4.35
Camallanus xenentodonti,Cylops (first intermediate),Xenentodon cancila (a fish),2,2,None,3,4,3.9
Camallanus zacconis,Copepods (first intermediate),Zacco tennimcki (a fish),2,2,None,2,3,2.8
Camallanus lacustris,Cyclopoid copepods (first) cyprinid and cobitid fish (paratenic),Perch (Pike),3,2,Last,3,4,4.4
Camallanus oxycephalus,Copepods (first) Planktonivorous fish (second),Piscivorous fish,3,3,Last,3,4,3.633333333
Procamallanus fukiensis,Copepods (first intermediate),Catfish: Parasilurus asotus,2,2,None,3,5,4.5
Procamallanus neocaballeroi,Copepods (first intermediate),Fish: Astyanax fasciatus,2,2,None,2,3,2.8
Procamallanus rebecae,Copepods (first) Guppies (paratenic),Cichlid fishes,3,2,Middle,2,4,4.1
Procamallanus spiculogubernaculus,Copepods (first intermediate),Fish: Heteropneustes fossilis,2,2,None,3,4,3.7
Spirocamallanus cearensis,Copepods (first) Fish: Curimatus elegans (paratenic?),Fish: Astyanax bimaculatus,3,2,Last,2,4,2.2
Spirocamallanus cricotus,"Copepod (first) Shrimp, squid (paratenic?)",Marine and estuarine fish,3,2,Middle,2,4,3.3
Spirocamallanus mysti,Copepods (first intermediate),Fish: Mystus vittatus,2,2,None,3,3,3.1
Spirocamallanus xenopodis,Copepods (first intermediate),Toads: Xenopus spp.,2,2,None,2,3,2.5
